pokemon_name;cp;iv
Flabebe;913;15/14/12
Flabebe;845;5/14/14
Flabebe;831;14/13/13
Flabebe;823;9/8/8
Flabebe;734;1/1/4
Flabebe;730;4/11/13
Flabebe;685;0/4/13
Flabebe;652;2/9/10
Flabebe;628;0/7/7
Flabebe;626;7/6/13
Flabebe;625;1/10/11
Flabebe;613;4/13/7
Flabebe;597;7/6/12
Flabebe;586;1/15/12
Flabebe;449;15/15/11
Flabebe;444;1/15/7
Flabebe;442;15/12/10
Flabebe;391;6/14/14
Flabebe;352;3/12/15
Flabebe;245;8/4/15
Flabebe;244;4/14/13
Flabebe;237;1/13/13
Flabebe;235;1/13/11
Flabebe;213;9/6/6
Flabebe;13;4/11/8
